Player;Role;Team;Opponent_Team;Opponent_Player;Date;Round;Day;Patch;Stage;No_Game;all_Games;Format;Game_of_day;Side;Time;Ban;Ban_Opponent;Pick;Pick_Opponent;Champion;Champion_Opponent;Outcome;Kills_Team;Turrets_Team;Dragon_Team;Baron_Team;Level;Kills;Deaths;Assists;KDA;CS;CS in Team's Jungle;CS in Enemy Jungle;CSM;Golds;GPM;GOLD%;Vision Score;Wards placed;Wards destroyed;Control Wards Purchased;Detector Wards Placed;VSPM;WPM;VWPM;WCPM;VS%;Total damage to Champion;Physical Damage;Magic Damage;True Damage;DPM;DMG%;K+A Per Minute;KP%;Solo kills;Double kills;Triple kills;Quadra kills;Penta kills;GD@15;CSD@15;XPD@15;LVLD@15;Objectives Stolen;Damage dealt to turrets;Damage dealt to buildings;Total heal;Total Heals On Teammates;Damage self mitigated;Total Damage Shielded On Teammates;Time ccing others;Total Time CC Dealt;Total damage taken;Total Time Spent Dead;Consumables purchased;Items Purchased;Shutdown bounty collected;Shutdown bounty lost
kingen;TOP;DK;T1;Zeus;12.09.2024;1;1;v14.16;Regional_Finals_2024;4;5;5;4;Blue;00:39:23;Azir;Vi;Ziggs;Corki;KSante;Gwen;Win;18;9;4;2;18;3;3;7;3.3;245;0;0;6.2;13475;342;0.18;51;22;10;17;17;1.29;0.56;0.43;0.25;0.134;11568;9056;2017;495;294;0.117;0.25;0.556;0;0;0;0;0;-576;-29;-502;0;0;1082;1082;3348;0;49790;1206;24;465;27201;172;18;40;200;100
Lucid;JUNGLE;DK;T1;Oner;12.09.2024;1;1;v14.16;Regional_Finals_2024;4;5;5;4;Blue;00:39:23;Sejuani;Smolder;Maokai;Miss_Fortune;Maokai;Lillia;Win;18;9;4;2;17;5;3;10;5;194;175;0;4.9;13609;346;0.182;60;22;12;21;20;1.52;0.56;0.53;0.3;0.157;14922;881;13753;288;379;0.151;0.38;0.833;0;0;0;0;0;-462;-43;-1603;-1;0;348;348;26709;0;60117;390;59;622;57769;117;24;45;600;150
ShowMaker;MID;DK;T1;Faker;12.09.2024;1;1;v14.16;Regional_Finals_2024;4;5;5;4;Blue;00:39:23;Jhin;Rumble;Tristana;Lillia;Tristana;Corki;Win;18;9;4;2;18;7;3;6;4.3;386;24;0;9.8;19261;489;0.257;47;16;6;4;4;1.19;0.41;0.1;0.15;0.123;28580;26480;2100;0;726;0.289;0.33;0.722;0;0;0;0;0;32;7;356;1;0;13369;13369;14024;0;16905;0;7;103;24523;129;5;28;50;450
Aiming;ADCARRY;DK;T1;Gumayusi;12.09.2024;1;1;v14.16;Regional_Finals_2024;4;5;5;4;Blue;00:39:23;Gnar;Jax;KSante;Nautilus;Ziggs;Miss_Fortune;Win;18;9;4;2;18;3;1;8;11;422;15;0;10.7;18811;478;0.251;39;19;9;8;7;0.99;0.48;0.2;0.23;0.102;38533;737;37771;25;978;0.39;0.28;0.611;0;1;0;0;0;23;-8;-616;0;0;10022;10022;2064;0;6056;0;21;467;10190;60;11;34;100;350
Moham;SUPPORT;DK;T1;Keria;12.09.2024;1;1;v14.16;Regional_Finals_2024;4;5;5;4;Blue;00:39:23;Leona;Camille;Rell;Gwen;Rell;Nautilus;Win;18;9;4;2;14;0;3;11;3.7;50;0;0;1.3;9772;248;0.13;185;91;27;25;25;4.7;2.31;0.63;0.69;0.484;5235;505;3602;1128;133;0.053;0.28;0.611;0;0;0;0;0;-515;4;-227;0;0;438;438;2039;0;20713;0;28;60;24639;66;28;43;0;0
Zeus;TOP;T1;DK;kingen;12.09.2024;1;1;v14.16;Regional_Finals_2024;4;5;5;4;Red;00:39:23;Vi;Azir;Corki;Ziggs;Gwen;KSante;Loss;13;3;1;0;18;1;4;7;2;348;20;0;8.8;15937;405;0.225;35;10;8;5;4;0.89;0.25;0.13;0.2;0.098;21037;1850;15611;3576;534;0.236;0.2;0.615;1;0;0;0;0;576;29;502;0;0;5963;5963;4975;0;30469;0;5;194;29303;187;8;30;350;200
Oner;JUNGLE;T1;DK;Lucid;12.09.2024;1;1;v14.16;Regional_Finals_2024;4;5;5;4;Red;00:39:23;Smolder;Sejuani;Miss_Fortune;Maokai;Lillia;Maokai;Loss;13;3;1;0;17;2;3;6;2.7;287;242;0;7.3;13568;345;0.191;61;8;17;7;6;1.55;0.2;0.18;0.43;0.17;17459;495;13824;3140;443;0.196;0.2;0.615;0;0;0;0;0;462;43;1603;1;0;0;0;28247;0;29050;0;23;557;43200;146;8;25;0;50
Faker;MID;T1;DK;ShowMaker;12.09.2024;1;1;v14.16;Regional_Finals_2024;4;5;5;4;Red;00:39:23;Rumble;Jhin;Lillia;Tristana;Corki;Tristana;Loss;13;3;1;0;18;3;3;6;3;345;23;0;8.8;15201;386;0.215;57;18;14;6;6;1.45;0.46;0.15;0.36;0.159;23061;16835;3488;2738;586;0.259;0.23;0.692;1;0;0;0;0;-32;-7;-356;-1;0;690;690;6380;0;12988;0;2;67;20846;55;7;26;250;200
Gumayusi;ADCARRY;T1;DK;Aiming;12.09.2024;1;1;v14.16;Regional_Finals_2024;4;5;5;4;Red;00:39:23;Jax;Gnar;Nautilus;KSante;Miss_Fortune;Ziggs;Loss;13;3;1;0;18;6;3;2;2.7;425;25;0;10.8;17833;453;0.252;62;19;19;6;5;1.57;0.48;0.15;0.48;0.173;22909;21458;1324;127;582;0.257;0.2;0.615;0;0;0;0;0;-23;8;616;0;0;1306;1306;9327;0;26418;0;9;192;18695;85;7;29;450;500
Keria;SUPPORT;T1;DK;Moham;12.09.2024;1;1;v14.16;Regional_Finals_2024;4;5;5;4;Red;00:39:23;Camille;Leona;Gwen;Rell;Nautilus;Rell;Loss;13;3;1;0;12;1;5;7;1.6;30;0;0;0.8;8326;211;0.117;143;92;14;26;25;3.63;2.34;0.66;0.36;0.399;4576;1160;2311;1105;116;0.051;0.2;0.615;1;0;0;0;0;515;-4;227;0;0;364;364;733;0;27614;0;39;167;24279;181;28;43;0;0
Zeus;TOP;T1;DK;kingen;12.09.2024;1;1;v14.16;Regional_Finals_2024;5;5;5;5;Blue;00:31:00;Vi;Azir;Ashe;Lillia;KSante;Gnar;Loss;6;3;1;0;15;0;5;2;0.4;228;0;0;7.4;10450;337;0.202;35;11;8;7;6;1.13;0.35;0.23;0.26;0.123;7287;6225;735;327;235;0.13;0.06;0.333;0;0;0;0;0;-266;19;696;0;0;2184;2184;1353;0;32686;161;18;1927;22747;139;8;28;0;0
Oner;JUNGLE;T1;DK;Lucid;12.09.2024;1;1;v14.16;Regional_Finals_2024;5;5;5;5;Blue;00:31:00;Smolder;Rumble;Zyra;Miss_Fortune;Zyra;Lillia;Loss;6;3;1;0;15;2;2;2;2;245;208;0;7.9;10881;351;0.21;75;29;19;5;4;2.42;0.94;0.16;0.61;0.264;15937;303;13676;1958;514;0.283;0.13;0.667;0;0;0;0;0;404;32;1355;1;0;511;511;7196;0;8233;0;21;511;14496;42;6;25;0;100
Faker;MID;T1;DK;ShowMaker;12.09.2024;1;1;v14.16;Regional_Finals_2024;5;5;5;5;Blue;00:31:00;Maokai;Ziggs;Corki;Leona;Corki;LeBlanc;Loss;6;3;1;0;16;2;1;1;3;304;20;0;9.8;11862;383;0.229;28;13;9;6;6;0.9;0.42;0.19;0.29;0.099;14943;11116;2675;1152;482;0.266;0.1;0.5;0;0;0;0;0;-360;12;585;1;0;5017;5017;6137;0;9719;0;0;37;16691;0;7;22;0;150
Gumayusi;ADCARRY;T1;DK;Aiming;12.09.2024;1;1;v14.16;Regional_Finals_2024;5;5;5;5;Blue;00:31:00;Tristana;Braum;KSante;LeBlanc;Ashe;Miss_Fortune;Loss;6;3;1;0;14;0;4;4;1;270;5;0;8.7;11218;362;0.217;33;8;9;2;2;1.06;0.26;0.06;0.29;0.116;10404;8692;1712;0;336;0.185;0.13;0.667;0;0;0;0;0;203;-12;-131;0;0;2138;2138;3105;0;8648;0;29;560;15044;120;4;23;0;50
Keria;SUPPORT;T1;DK;Moham;12.09.2024;1;1;v14.16;Regional_Finals_2024;5;5;5;5;Blue;00:31:00;Gangplank;Alistar;Poppy;Gnar;Poppy;Leona;Loss;6;3;1;0;10;2;3;3;1.7;32;1;0;1;7368;238;0.142;113;74;13;22;22;3.65;2.39;0.71;0.42;0.398;7668;5410;1372;886;247;0.136;0.16;0.833;0;0;0;0;0;630;-9;-22;0;0;2260;2260;805;0;12576;0;29;162;15315;79;24;37;0;100
kingen;TOP;DK;T1;Zeus;12.09.2024;1;1;v14.16;Regional_Finals_2024;5;5;5;5;Red;00:31:00;Azir;Vi;Lillia;Ashe;Gnar;KSante;Win;15;8;3;1;16;2;1;7;9;207;8;0;6.7;11917;384;0.2;37;9;14;3;3;1.19;0.29;0.1;0.45;0.118;12340;10739;1483;118;398;0.183;0.29;0.6;0;1;0;0;0;266;-19;-696;0;0;6874;6874;5328;0;10735;0;19;382;13509;12;4;22;150;0
Lucid;JUNGLE;DK;T1;Oner;12.09.2024;1;1;v14.16;Regional_Finals_2024;5;5;5;5;Red;00:31:00;Rumble;Smolder;Miss_Fortune;Zyra;Lillia;Zyra;Win;15;8;3;1;16;2;0;7;Perfect_KDA;213;184;0;6.9;11915;384;0.2;44;11;15;9;9;1.42;0.35;0.29;0.48;0.14;12868;469;10094;2305;415;0.19;0.29;0.6;0;0;0;0;0;-404;-32;-1355;-1;0;1721;1721;26642;0;21153;0;22;303;34041;0;10;25;100;0
ShowMaker;MID;DK;T1;Faker;12.09.2024;1;1;v14.16;Regional_Finals_2024;5;5;5;5;Red;00:31:00;Ziggs;Maokai;Leona;Corki;LeBlanc;Corki;Win;15;8;3;1;16;3;2;4;3.5;247;0;0;8;12261;396;0.206;43;16;9;6;5;1.39;0.52;0.19;0.29;0.137;14879;1138;12477;1264;480;0.22;0.23;0.467;1;0;0;0;0;360;-12;-585;-1;0;3067;3067;3703;0;8979;0;8;61;16911;69;9;24;0;0
